paper_id,citation,doi_or_arxiv,source,modality,n_readers,n_cases,scale,paradigm,mean_reported,scale_max,pct_at_max_reported,saturated,agreement_reported,agreement_value,agreement_framing,effect_test_reported,notes,extractor_confidence
1,"Khader et al., 2023, Scientific Reports",10.1038/s41598-023-34341-2,pubmed,MRI + CT (brain/breast/knee MRI; chest CT),2,200,4-point Likert (categories A-D per item),absolute,NA,4,NA,cannot-tell,none,NA,NA,no,"RECODED TO cannot-tell 2026-08-17 after independent human verification. The 94.5% (189/200) figure was a top-TWO-of-four proportion admitted under Amendment A1.1. A1.1 presupposes an ORDINAL scale. Table 1's Option D is 'Can't tell whether fake or not', which does NOT sit ordinally above Option C ('overall realistic and only minor unrealistic areas'). The instrument is therefore nominal-with-an-uncertainty-category, not a 4-point Likert scale despite the paper's label. 'Top two' is undefined on it, so neither a mean nor a top-k proportion is admissible. A1.1 was MISAPPLIED here and the row reverts to the strict rule. mean_reported was and remains NA - no mean was ever constructed. No agreement statistic of any kind appears in the paper, so agreement_value/framing are correctly NA. Verified fields (n_readers=2, no mean, no agreement value) all MATCHED the sheet; this defect was in the coding rule, not the extraction.",low
2,"Barr et al., 2025, arXiv preprint",arXiv:2510.22166,arxiv,Radiograph (lateral cervical spine),8,50,1-4 Likert realism + forced-choice real/fake,mixed,3.320,4,NA,no,kappa,0.061,evidence-of-realism,yes,"RE-CODED framing under Amendment A2.1 (was descriptive). Best synthetic checkpoint mean 3.320 vs real 3.323; threshold 3.55. Fleiss kappa is for the IDENTIFICATION task. Low agreement explicitly read as evidence images are indistinguishable. Paired Wilcoxon with Holm correction. PUBLISHED VERSION EXISTS: BMC Med Inform Decis Mak (2026), doi 10.1186/s12911-026-03479-0, retitled 'Synthetic cervical spine radiographs: expert validation and transfer learning for low-data settings'. EXTRACTION WAS FROM THE arXiv PREPRINT (v1, Oct 2025); the journal version adds a transfer-learning component and may differ. Do not cite the journal version as the extracted source without re-reading it.",high
3,"Xu et al., 2026, arXiv preprint",arXiv:2602.11703,arxiv,DSA (cerebral angiography),4,239,1-5 Likert (1 very poor to 5 excellent),absolute,3.34,5,NA,no,icc,0.87,descriptive,no,"PROVENANCE (discrepancy resolved). mean_reported 3.34 = Table 3, column 'Overall', row AC_A - the image-wise overall score for the BEST of four conditioning settings, per the pre-registered best-model rule. The abstract's '3.1 to 3.3' is a rounded range the Results text states covers THREE OF THE FOUR conditions and excludes PC_A (2.73), the worst. The sheet therefore reports a different aggregation than the abstract: best single condition vs an approximate range over a favourable subset. Full Table 3 Overall column: AC_A 3.34, AC_B 3.09, PC_A 2.73, PC_B 3.29. Threshold 4.4 either way, so saturated=no is unaffected. agreement_value 0.87 = Table 4, row 'Overall', column 'All raters', ICC(2,k). The abstract's 0.80-0.87 is the range across the four regions for all raters (Prox 0.80, Med 0.84, Peri 0.85, Overall 0.87); the sheet records the MAXIMUM of that range, which flatters agreement - flagged deliberately. Domain-experts-only column is higher still (0.887-0.927). FRAMING NOT RECODED: this is the strongest validity-gate candidate in the sample (abstract pairs the Likert scores with 'high inter-rater reliability' in one sentence) but per instruction it is held at descriptive and goes to the second coder. 400 images pre-screened to 239 by a senior neuroradiologist before rating. | HUMAN VERIFICATION 2026-08-17: n_readers=4 and mean 3.34 CONFIRMED. MATERIAL OMISSION FOUND: the paper also reports ICC(2,1) of 0.49-0.62 (moderate single-rater agreement), which the sheet did not record. ICC(2,k) is a reliability-of-the-MEAN statistic and rises with rater count by construction; ICC(2,1) is the figure describing whether two clinicians viewing the same angiogram agree. The body of the paper states both correctly; the abstract carries only the ICC(2,k) range. INDEPENDENT FRAMING JUDGEMENT: coder characterised this as SELECTIVE reporting - not validity-gate. The held-open disagreement is therefore resolved AGAINST recoding: the sheet's 'descriptive' stands and the 0-of-4 validity-gate count is unchanged. Also flagged: the abstract's 'four blinded neuroradiologists' does not match the paper's own stated rater composition (n_readers=4 stands as a count). 161/400 images (40%) were rejected at screening before any rating - already recorded above.",high
4,"Jang et al., 2023, Scientific Reports",10.1038/s41598-023-28175-1,pubmed,Radiograph (chest),6,400,binary forced choice (real vs synthetic),forced-choice,NA,NA,NA,cannot-tell,kappa,0.10,evidence-of-realism,yes,"RE-CODED framing under Amendment A2.1 (was descriptive). Turing-test-only; no rating scale, so saturation not computable. Mean accuracy 67.4% and 69.9%. Fleiss kappa 0.10 (0.07-0.14) and 0.14 (0.10-0.18). Low agreement explicitly read as evidence readers could not distinguish. Mixed-effects logistic regression compares the two GAN variants. | HUMAN VERIFICATION 2026-08-17: n_readers=6, no scale (binary forced choice), Fleiss kappa 0.10 (0.07-0.14) and 0.14 (0.10-0.18) all CONFIRMED. mean_reported/scale_max correctly NA - a mean would have been a category error. NEW FINDING: the per-reader table contradicts the paper's own summary claim. Readers R04 and R06 scored 89.5% and 91% accuracy. 'Radiologists were not able to distinguish synthetic from real' is not supported by readers who demonstrably could. Low kappa is equally consistent with readers applying different and internally inconsistent criteria - a different claim from indistinguishability. Coder's characterisation: agreement statistic used as evidence for a conclusion the study's own data contradicts. Sharpest instance in the sample.",medium
5,"Chen, Weber et al., 2025, arXiv preprint",arXiv:2511.20926,arxiv,"MRI (cerebellopontine angle, contrast-enhanced T1)",1,22,1-5 bipolar comparative (1 = DL better than standard dose; 3 = similar; 5 = DL worse),paired,NA,5,NA,cannot-tell,none,NA,NA,no,"Confirmed cannot-tell under Amendment A1.2 (bipolar scale - numeric maximum is the WORST outcome). SINGLE reader. Median 3 with IQR, no mean. Wilcoxon in the statistical analysis section applies to SSIM/PSNR; no inferential test of reader ratings is reported. PUBLISHED VERSION EXISTS: European Radiology (2025), doi 10.1007/s00330-025-12187-8. EXTRACTION WAS FROM THE arXiv PREPRINT. Journal version not re-read.",high
6,"Yu et al., 2025, arXiv preprint",arXiv:2502.19623,arxiv,"CT (nephrographic phase, CT urography)",2,250,1-5 Likert (5 = excellent),absolute,3.4,5,24.0,no,icc,0.018,descriptive,yes,"Full rating distributions reported (Table 2) - rare in this sample. Rater-average synthetic mean 3.4 vs real 3.5, p=0.5; threshold 4.4. Percent at scale max for synthetic: 24% (Rater 1), 4% (Rater 2) - both far below 50%. ICC overall 0.018 (95% CI -0.106 to 0.142); synthetic -0.05; real 0.087. NOTABLE: near-zero agreement is reported, described as weak, and then explicitly set aside ('Despite the weak agreement, the scores suggest...'). The coefficient is the opposite of a validity gate. Wilcoxon rank sum per rater and rater-average. | HUMAN VERIFICATION 2026-08-17: n_readers=2, 3.4 synthetic vs 3.5 real on a 1-5 scale, ICC 0.018 (-0.106, 0.142) all CONFIRMED. Per-condition ICCs also reported: synthetic -0.05 (-0.222, 0.126), real 0.087. A negative point estimate on the synthetic images means no measurable agreement. NEW FINDING: Rater 2's real-vs-synthetic difference IS significant, P=0.041 in favour of real. Only the rater-averaged P=0.5 reaches the abstract. Coder's note: averaging two raters who show no measurable agreement and reporting the mean as a property of the images is not supportable.",high
7,"Jiang et al., 2025, arXiv preprint",arXiv:2508.09327,arxiv,"CT (thoracic, lung nodules)",1,61,binary forced choice (identify fake in pair),forced-choice,NA,NA,NA,cannot-tell,none,NA,NA,no,"SINGLE reader. Visual Turing Test on 61 real-synthetic pairs; accuracy 0.6393, sensitivity 0.7647, specificity 0.4815. No rating scale, no agreement coefficient possible, no inferential test of the reader outcome. Between-model comparison is on segmentation Dice/HD95, not on reader data.",high
8,"Hardy et al., 2023, arXiv preprint",arXiv:2307.06507,arxiv,Ultrasound (B-mode liver),5,50,binary forced choice (real vs synthetic),forced-choice,NA,NA,NA,cannot-tell,none,NA,NA,no,"Readers are four general practitioners and one epidemiologist, not radiologists - admitted under inclusion criterion 2 ('clinicians or trained observers'). Accuracy 51.2% (95% CI 40.6-61.8), near chance, read as evidence experts could not differentiate. Binomial CIs reported but no chance-corrected coefficient and no inferential test between the two LDM variants on reader outcomes. PUBLISHED VERSION EXISTS: Scientific Reports 13 (2023), doi 10.1038/s41598-023-48062-z. EXTRACTION WAS FROM THE arXiv PREPRINT (v2). Journal version not re-read.",high
9,"Chen et al., 2024, CVPR (DiffTumor)",arXiv:2402.19470,arxiv,"CT (liver, pancreas, kidney tumours)",4,720,binary forced choice (real vs synthetic),forced-choice,NA,NA,NA,cannot-tell,none,NA,NA,no,"240 CT volumes per organ across three organs = 720 judgements per rater. Per-reader sensitivity 95.8-100%, specificity 22.5-55.0%, accuracy 59.6-76.7%. No chance-corrected coefficient reported despite four readers. Low specificity is read as evidence synthetic tumours resemble real ones - evidence-of-realism REASONING without any coefficient, so agreement_framing is NA. Authors also report a separate reader study of organ-of-origin identification on REAL tumours; that is not a synthetic-image quality rating and was not extracted. No inferential test of the VTT results.",high
10,"Wong, Wang et al., 2025, arXiv preprint (GazeVal)",arXiv:2503.20967,arxiv,Radiograph (chest),16,60,binary forced choice (real vs synthetic) + diagnostic task,forced-choice,NA,NA,NA,cannot-tell,other,0.5130,NA,yes,"LARGEST panel in the sample (16 radiologists). VTT accuracy 0.74 synthetic / 0.86 real; 96.7% correct under a voting scheme. Agreement is reported as Inter-Observer Congruency on GAZE data (fixation-based IOC 0.5130 synthetic, Task 2), NOT as agreement on the ratings, and it is not chance-corrected - so it does NOT count toward A2 and agreement_framing is NA. Paired t-tests on diagnostic agreement (p=0.17) and visual attention entropy (p=0.91). NOTE: this is the one study in the sample where readers COULD reliably distinguish synthetic from real - the opposite direction to most.",high
